奂	奐
奇	竒
奈	柰
奉	𠬻 𢱵
奋	奮
奌	點
奎	㚝 奞
奏	𡙹 𡲯 𡴨 𢽥
奐	奂
契	契
奔	犇
奕	弈
奖	奬 獎
奘	弉
奞	㚝 奎
奥	奧
奧	奥
奨	奬
奩	匳 奁
奪	𡙸 𡜎 夺
奬	奖
奭	𡚐
奮	奋
女	女 𠨰
奴	㚢
奶	嬭 妳
奸	姦
她	他 姐
奼	姹
好	𡥆 𡚽 𩐔
妆	妝
妇	婦
妈	媽
妊	姙
妍	姸
妒	妬
妘	𡤀
妙	玅
妝	粧 妆
妤	伃
妩	嫵
妪	嫗
妫	媯 嬀
妬	妒
妳	你 奶 嬭
妻	𡜌 𡜈
姆	姥 佬
姉	姊
姊	姉
始	𠃭 乨 兘 𠙉
姍	㛽 姗
姐	她 毑
姒	㚶
姓	𤯧 𤯣
姗	姍
姘	嬪
姙	妊
姜	薑
姢	娟
姣	㚣
姥	姆
姦	𢙶 奸
姪	侄
姫	姬
姬	姫 㚦
姶	㛕
姸	妍
姹	奼
姻	婣
威	𤰴 𤱫
娄	婁
娅	婭
娆	嬈
娇	嬌
娈	孌
娘	孃
娚	喃
娛	娱
娟	姢
娠	㛛 煖
娩	㝃
娬	嫵
娭	毐
娯	娛
娱	娛
娲	媧
娴	嫻
娿	婀
婀	娿
婁	𡜰 𡇔 𡝨 娄
婣	姻
婦	𢽰 媍 妇
婬	淫
婭	娅
婳	嫿
婴	嬰
婵	嬋
婶	嬸
婾	媮
婿	聟 壻
媆	嫩 嫰
媍	婦
媚	𡡚
媧	娲
媪	媼
媭	嬃
媯	嬀 妫
媼	媪
媽	妈
媿	愧 醜
嫉	𡜱
嫋	嬝
嫐	喃
嫒	嬡
嫔	嬪
嫕	嫛
嫗	妪
嫛	嫕
嫩	媆 𡞾 嫰
嫫	嬷
嫰	媆 嫩
嫱	嬙
嫵	娬 妩
嫺	嫻
嫻	嫺 娴
嫿	婳
嬀	媯 妫
嬃	媭
嬈	娆
嬋	婵
嬌	撟 娇
嬙	嫱
嬝	裊
嬡	嫒
嬢	娘
嬤	嬷
嬪	𡜷 𡝏 姘 𡣑 𡤁 嫔
嬭	𡇲 奶 妳
嬰	孾 婴
嬲	惱
嬷	嫫 嬤
嬸	婶
嬾	懶
孀	霜
孃	娘
孌	𡢛 娈
子	㜽 𢀈 𢀉 𡐫 𣕓 只
孔	𡤿
孕	𣎜
字	𡥜 𥤪
存	𠩯
孙	孫
孚	孵 𤓽
孛	柏 栢
孠	嗣
季	𡥞 𡦠 𩐄 𩐖
学	學
孩	咳
